time;exps;conc;concm1;replicate
0;0.014;0;0;1
0.25;0.014;0.001;0.00005;1
0.25;0.014;0.0012;0.000055;2
0.5;0.014;0.0015;0.0001;1
0.5;0.014;0.0021;0.00012;2
1;0.014;0.0024;0.00017;1
1;0.014;0.003;0.0002;2
2;0.014;0.0048;0.0005;1
2;0.014;0.0052;0.00053;2
4;0.014;0.0058;0.001;1
4;0.014;0.007;0.00099;2
4;0.014;0.0078;0.0011;3
6;0.014;0.008;0.0014;1
6;0.014;0.0083;0.0013;2
6;0.014;0.0096;0.0012;3
10;0.014;0.0135;0.0023;1
10;0.014;0.0156;0.0027;2
10;0.014;0.015;0.003;3
10.5;0.014;0.021;0.0024;1
10.5;0.014;0.012;0.002;2
11;0.014;0.008;0.0031;1
11;0.014;0.0082;0.0025;2
12;0.014;0.0058;0.0039;1
12;0.014;0.0061;0.0041;2
14;0.014;0.0045;0.0032;1
14;0.014;0.005;0.0024;2
16;0.014;0.0041;0.0059;1
16;0.014;0.0039;0.0056;2
20;0.014;0.0023;0.0038;1
20;0.014;0.002;0.0034;2
