time;conc;replicate;exps
0;0;A;1.06
6;0.00244897959183676;A;1.06
24;0.00734693877551018;A;1.06
48;0.0110204081632653;A;1.06
96;0.0183673469387755;A;1.06
170;0.0257142857142857;A;1.06
240;0.0318367346938775;A;1.06
0;0;A;0.111
6;0.00612244897959185;A;0.111
24;0.0183673469387755;A;0.111
48;0.0281632653061224;A;0.111
96;0.0502040816326531;A;0.111
170;0.0722448979591837;A;0.111
170;0.0759183673469388;B;0.111
240;0.104081632653061;A;0.111
240;0.096734693877551;B;0.111
0;0;A;0.058
6;0.00857142857142861;A;0.058
6;0.0183673469387755;B;0.058
24;0.0293877551020408;A;0.058
24;0.036734693877551;B;0.058
48;0.0416326530612245;A;0.058
48;0.046530612244898;B;0.058
96;0.0673469387755102;A;0.058
96;0.073469387755102;B;0.058
170;0.096734693877551;A;0.058
170;0.107755102040816;B;0.058
170;0.108979591836734;C;0.058
240;0.131020408163265;A;0.058
240;0.135918367346938;B;0.058
240;0.140816326530612;C;0.058
0;0.00244897959183676;A;0.0132
6;0.0146938775510204;A;0.0132
6;0.009795918367347;B;0.0132
24;0.0257142857142857;A;0.0132
24;0.0330612244897959;B;0.0132
24;0.036734693877551;C;0.0132
48;0.0624489795918367;A;0.0132
48;0.0673469387755102;B;0.0132
48;0.0820408163265306;C;0.0132
96;0.0906122448979592;A;0.0132
96;0.112653061224489;B;0.0132
170;0.131020408163265;A;0.0132
170;0.143265306122449;B;0.0132
170;0.243673469387755;C;0.0132
240;0.162857142857142;A;0.0132
240;0.164081632653061;B;0.0132
240;0.249795918367347;C;0.0132
