time	conc	replicate	expw
0	0	1	0.0001112
0.135	0.0093029	1	0.0001112
0.135	0.0218095	2	0.0001112
0.135	0.01559	3	0.0001112
0.135	0.0169346	4	0.0001112
0.135	0.0214999	5	0.0001112
0.375	0.0333318	1	0.0001112
0.375	0.0364857	2	0.0001112
0.375	0.0185824	3	0.0001112
0.375	0.0454429	4	0.0001112
0.375	0.0424683	5	0.0001112
1.031	0.05924	1	0.0001112
1.031	0.0608593	2	0.0001112
1.031	0.0922351	3	0.0001112
1.031	0.0746292	4	0.0001112
1.031	0.1159774	5	0.0001112
2.021	0.1155809	1	0.0001112
2.021	0.0720801	2	0.0001112
2.021	0.0955633	3	0.0001112
2.021	0.1495603	4	0.0001112
2.021	0.0901117	5	0.0001112
2.167	0.1214878	1	0.0001112
2.167	0.0830766	2	0.0001112
2.167	0.0798877	3	0.0001112
2.167	0.1365341	4	0.0001112
2.167	0.0863941	5	0.0001112
2.375	0.1230418	1	0.0001112
2.375	0.1226737	2	0.0001112
2.375	0.1257528	3	0.0001112
2.375	0.1122416	4	0.0001112
2.375	0.1504756	5	0.0001112
3.042	0.0950465	1	0.0001112
3.042	0.1030247	2	0.0001112
3.042	0.0960623	3	0.0001112
3.042	0.1270632	4	0.0001112
3.042	0.1398487	5	0.0001112
4	0.11059	1	0.0001112
4	0.0763847	2	0.0001112
4	0.0909387	3	0.0001112
4	0.0930082	4	0.0001112
4	0.0996896	5	0.0001112
5.01	0.0879631	1	0.0001112
5.01	0.0829217	2	0.0001112
5.01	0.1066667	3	0.0001112
5.01	0.0773561	4	0.0001112
5.01	0.092423	5	0.0001112
7.021	0.0901618	1	0.0001112
7.021	0.062953	2	0.0001112
7.021	0.08108	3	0.0001112
7.021	0.0838197	4	0.0001112
7.021	0.0903791	5	0.0001112
