time;conc;expw;replicate
0;0;10;A
2;139.247193484481;10;A
4;1768.0093917382;10;A
8;2082.63262161567;10;A
12;2985.64825005502;10;A
24;3496.38271333186;10;A
36;3625.93000220118;10;A
48;3980.46811945116;10;A
60;4127.33142563651;10;A
72;4377.97343899038;10;A
97;3095.23809523809;10;A
120;2506.4935064935;10;A
143;2142.85714285714;10;A
191;1813.85281385281;10;A
240;1173.16017316017;10;A
289;982.683982683981;10;A
337;688.311688311688;10;A
384;220.779220779219;10;A
432;151.515151515151;10;A
