time	conc	replicate	expw
0	0	1	0.020053
0.083	1.1126136	1	0.020053
0.083	2.0684806	2	0.020053
0.083	3.5749928	3	0.020053
0.083	2.0587945	4	0.020053
0.25	3.7901319	1	0.020053
0.25	7.4985222	2	0.020053
0.25	6.4846484	3	0.020053
0.25	6.3621567	4	0.020053
0.25	5.5380163	5	0.020053
1	8.3206242	1	0.020053
1	18.4165699	2	0.020053
1	26.3438225	3	0.020053
1	10.0913796	4	0.020053
1	9.7333733	5	0.020053
2.021	8.2541584	1	0.020053
2.021	19.0878745	2	0.020053
2.021	16.8927222	3	0.020053
2.021	7.414591	4	0.020053
2.021	13.4195792	5	0.020053
2.094	16.2047749	1	0.020053
2.094	8.4437214	2	0.020053
2.094	16.2880047	3	0.020053
2.094	12.1420817	4	0.020053
2.094	8.8113758	5	0.020053
2.229	17.27091	1	0.020053
2.229	17.3738261	2	0.020053
2.229	12.0991278	3	0.020053
2.229	13.1005199	4	0.020053
2.229	16.7342485	5	0.020053
2.885	12.0567151	1	0.020053
2.885	5.2271411	2	0.020053
2.885	11.2225746	3	0.020053
2.885	11.7542001	4	0.020053
2.885	9.4178394	5	0.020053
3.896	7.9442292	1	0.020053
3.896	8.1734927	2	0.020053
3.896	4.6088018	3	0.020053
3.896	13.1169957	4	0.020053
3.896	9.4594819	5	0.020053
4.927	16.7856607	1	0.020053
4.927	4.2572059	2	0.020053
4.927	9.2100647	3	0.020053
4.927	2.3450444	4	0.020053
4.927	7.8403621	5	0.020053
6.927	5.0744959	1	0.020053
6.927	4.6287908	2	0.020053
6.927	8.8478768	3	0.020053
6.927	7.1455851	4	0.020053
6.927	9.0133629	5	0.020053
