time	conc	replicate	expw
0	0	1	0.00042716
0.115	0.0118166	1	0.00042716
0.115	0.0093757	2	0.00042716
0.115	0.0078663	3	0.00042716
0.115	0.0090482	4	0.00042716
0.115	0.0088592	5	0.00042716
0.344	0.0155	1	0.00042716
0.344	0.0141961	2	0.00042716
0.344	0.0136519	3	0.00042716
0.344	0.0157976	4	0.00042716
0.344	0.0116234	5	0.00042716
1	0.0266943	1	0.00042716
1	0.0306169	2	0.00042716
1	0.0253419	3	0.00042716
1	0.0368496	4	0.00042716
1	0.0305412	5	0.00042716
2.042	0.0557429	1	0.00042716
2.042	0.0591932	2	0.00042716
2.042	0.0491083	3	0.00042716
2.042	0.043313	4	0.00042716
2.042	0.0549028	5	0.00042716
2.156	0.0425843	1	0.00042716
2.156	0.0379365	2	0.00042716
2.156	0.0329521	3	0.00042716
2.156	0.0452255	4	0.00042716
2.156	0.0427526	5	0.00042716
2.333	0.048423	1	0.00042716
2.333	0.0473523	2	0.00042716
2.333	0.0330191	3	0.00042716
2.333	0.0405341	4	0.00042716
2.333	0.0442787	5	0.00042716
2.948	0.0403877	1	0.00042716
2.948	0.0352301	2	0.00042716
2.948	0.0372988	3	0.00042716
2.948	0.0355738	4	0.00042716
2.948	0.0366414	5	0.00042716
3.979	0.0312608	1	0.00042716
3.979	0.0341345	2	0.00042716
3.979	0.0356114	3	0.00042716
3.979	0.0311041	4	0.00042716
3.979	0.0336434	5	0.00042716
5.042	0.030524	1	0.00042716
5.042	0.035723	2	0.00042716
5.042	0.0317697	3	0.00042716
5.042	0.035686	4	0.00042716
5.042	0.0268573	5	0.00042716
6.979	0.0263705	1	0.00042716
6.979	0.0278701	2	0.00042716
6.979	0.0233785	3	0.00042716
6.979	0.0275024	4	0.00042716
6.979	0.0279043	5	0.00042716
