time;conc;expf;replicate
0;0;476;1
2;0.457976528301886;476;1
5;0.471698641509433;476;1
5;0.495712339622641;476;2
5;0.519726037735848;476;3
9;0.567753433962264;476;1
9;0.598628188679245;476;2
9;0.802744622641509;476;3
14;0.572899226415094;476;1
14;0.636363999999999;476;2
14.5;0.584906075471697;476;1
14.5;0.615780830188679;476;2
14.5;0.663808226415094;476;3
14.75;0.634648735849056;476;1
14.75;0.675815075471698;476;2
15;0.75300196226415;476;1
15;0.780446188679245;476;2
17;0.619211358490565;476;1
17;0.632933471698113;476;2
17;0.704974566037735;476;3
19;0.542024471698113;476;1
19;0.578045018867924;476;2
19;0.639794528301886;476;3
23;0.531732886792452;476;1
23;0.545454999999999;476;2
23;0.564322905660377;476;3
48.2;0.224700603773584;476;1
48.2;0.221270075471697;476;2
