time;conc;expf;replicate
0;0;27.8;1
2;0.355516701926445;27.8;1
5;0.227670830297723;27.8;1
9;0.229422143607705;27.8;1
9;0.287215482837128;27.8;2
9;0.34500882206655;27.8;3
14;0.306479929246935;27.8;1
14;0.287215482837128;27.8;2
14;0.336252255516637;27.8;3
14.25;0.523642779684763;27.8;1
14.25;0.388791654816112;27.8;2
14.25;0.369527208406304;27.8;3
14.5;0.346760135376532;27.8;1
14.5;0.318739122416812;27.8;2
14.5;0.285464169527145;27.8;3
15;0.229422143607705;27.8;1
15;0.248686590017513;27.8;2
17;0.24693527670753;27.8;1
17;0.259194469877408;27.8;2
19;0.26795103642732;27.8;1
19;0.243432650087565;27.8;2
19;0.199649817338003;27.8;3
23;0.28896679614711;27.8;1
23;0.220665577057793;27.8;2
23;0.196147190718038;27.8;3
31.4;0.218914263747811;27.8;1
48.2;0.215411637127845;27.8;1
48.2;0.189141937478108;27.8;2
86;0.113835465148861;27.8;1
86;0.0858144521891419;27.8;2
