time;conc;expf;replicate
0;0;8.8;1
2;0.303499118616635;8.8;1
5;0.362616346439756;8.8;1
5;0.385019582692301;8.8;2
5;0.403349503262566;8.8;3
9;0.427855581215197;8.8;1
9;0.466555088554091;8.8;2
14;0.474767903777598;8.8;1
14;0.454401325366192;8.8;2
14.5;0.427951848646388;8.8;1
14.5;0.454428400581215;8.8;2
15;0.489051583880604;8.8;1
15;0.570517897526225;8.8;2
17;0.442253578892743;8.8;1
17;0.474840104350991;8.8;2
19;0.454497592797384;8.8;1
19;0.493191083421829;8.8;2
23;0.479012695821688;8.8;1
23;0.462716424735339;8.8;2
31.4;0.452668511604749;8.8;1
31.4;0.413975020980304;8.8;2
48.2;0.469244559912998;8.8;1
48.2;0.448874973144368;8.8;2
86;0.443420821495937;8.8;1
86;0.41490761171997;8.8;2
128;0.513377160399751;8.8;1
128;0.421727557548427;8.8;2
128;0.380994400725616;8.8;3
128;0.262868245939465;8.8;4
128;0.397290671811965;8.8;5
