time;conc;expf;replicate
0;0;8.5;1
2;0.278519943957217;8.5;1
2;0.309007802086909;8.5;2
2;0.390306010445534;8.5;3
5;0.27252674517893;8.5;1
5;0.355860224066754;8.5;2
9;0.390547715987464;8.5;1
9;0.416973273020415;8.5;2
14;0.333799100057954;8.5;1
14;0.409005230098412;8.5;2
14;0.451685484826095;8.5;3
14.5;0.299270914062607;8.5;1
14.5;0.380571869075118;8.5;2
14.5;0.461875570741514;8.5;3
14.5;0.484233333369955;8.5;4
14.5;0.691550768651858;8.5;5
15;0.530989622463805;8.5;1
15;0.506604829267823;8.5;2
15;0.478149495013444;8.5;3
17;0.486348256861834;8.5;1
17;0.470085319205446;8.5;2
19;0.482349128804462;8.5;1
19;0.464056413926647;8.5;2
19;0.41527584091914;8.5;3
23;0.439797966809401;8.5;1
23;0.218255611054194;8.5;2
