time;conc;replicate;expf
0;0;1;129
2;0.286745823562638;1;129
5;0.235186851206201;1;129
5;0.35371831869612;2;129
9;0.325912566932007;1;129
9;0.36039239433572;2;129
9;0.390564777956409;3;129
14;0.328337133472955;1;129
14;0.349888836059162;2;129
14;0.436092749669771;3;129
14.5;0.649486469349624;1;129
14.5;0.442587227787819;2;129
14.5;0.41457001442575;3;129
14.5;0.373621779511957;4;129
15;0.597794247219132;1;129
15;0.470627615023637;2;129
15;0.427527106585441;3;129
15;0.380113360895786;4;129
17;0.440562410569034;1;129
17;0.401769345913862;2;129
17;0.328496453854977;3;129
19;0.367402491144674;1;129
23;0.270631291104699;1;129
23;0.197355502311596;2;129
23;0.119772269735469;3;129
