time;conc;replicate;expf
0;0;1;12.5
2;0.358725594406516;1;12.5
2;0.398586839742195;2;12.5
2;0.493909780384624;3;12.5
5;0.459201543412557;1;12.5
5;0.466133933905718;2;12.5
9;0.509404804535882;1;12.5
9;0.542336230739858;2;12.5
14;0.535329270764388;1;12.5
14;0.559595208851912;2;12.5
14;0.592516349610053;3;12.5
14;0.571719178130568;4;12.5
14;0.502395273198953;5;12.5
14.5;0.481590387635093;1;12.5
14.5;0.543979330712087;2;12.5
15;0.564773930830112;1;12.5
15;0.647970330832427;2;12.5
17;0.575144231593807;1;12.5
17;0.530083693388257;2;12.5
19;0.576846472879591;1;12.5
19;0.549116910906945;2;12.5
23;0.568121843449584;1;12.5
23;0.552531678924348;2;12.5
23;0.531734507444863;3;12.5
31;0.536800089518872;1;12.5
31;0.512541865515725;2;12.5
31;0.495210889282821;3;12.5
48.2;0.548700350350605;1;12.5
86;0.548152650359862;1;12.5
86;0.534287869373539;2;12.5
86;0.515221224155886;3;12.5
128;0.599531023669899;1;12.5
128;0.55966977833422;2;12.5
128;0.537139509231445;3;12.5
128;0.379430196873481;4;12.5
