time;conc;expf;replicate
0;0;12.5;1
2;0.297635864158376;12.5;1
5;0.368596114175068;12.5;1
5;0.388839254657141;12.5;2
5;0.419203965380249;12.5;3
9;0.443623202009748;12.5;1
9;0.49219459935234;12.5;2
14;0.437714147359284;12.5;1
14;0.474139660412632;12.5;2
14;0.508552999232156;12.5;3
14.5;0.621944935467717;12.5;1
14.5;0.534899431394805;12.5;2
14.5;0.484291580189624;12.5;3
15;0.427622926654203;12.5;1
19;0.508716886726313;12.5;1
19;0.472285303765774;12.5;2
23;0.506850390265073;12.5;1
23;0.490655877879415;12.5;2
23;0.466364109300928;12.5;3
31.4;0.474746651131735;12.5;1
31.4;0.456521754790679;12.5;2
31.4;0.420078032015757;12.5;3
48.2;0.501615095312813;12.5;1
48.2;0.493511769212793;12.5;2
86;0.494804659444481;12.5;1
86;0.46646426276958;12.5;2
86;0.448245436335714;12.5;3
128;0.587300940174935;12.5;1
128;0.49621894781999;12.5;2
128;0.469896795286105;12.5;3
128;0.427386200273753;12.5;4
128;0.255319506176136;12.5;5
