time;conc;expf;replicate
0;0;52.9;1
2;0.237500762499999;52.9;1
2;0.42708390625;52.9;2
5;0.48958384375;52.9;1
5;0.51041715625;52.9;2
5;0.5333338;52.9;3
9;0.5666671;52.9;1
9;0.59375040625;52.9;2
9;0.63541703125;52.9;3
14;0.58541708125;52.9;1
14;0.608333724999999;52.9;2
14.5;0.55208378125;52.9;1
14.5;0.5791670875;52.9;2
15;0.63958369375;52.9;1
15;0.72291694375;52.9;2
17;0.62708370625;52.9;1
17;0.581250418749999;52.9;2
19;0.575000425;52.9;1
19;0.61875038125;52.9;2
23;0.5791670875;52.9;1
23;0.6208337125;52.9;2
21;0.56041710625;52.9;1
21;0.525000475;52.9;2
48.2;0.5625004375;52.9;1
48.2;0.53541713125;52.9;2
86;0.47708385625;52.9;1
86;0.458333875;52.9;2
128;0.48541718125;52.9;1
128;0.45000055;52.9;2
128;0.41666725;52.9;3
128;0.291667375;52.9;4
