time;conc;expf;replicate
0;0;18.1;1
2;0.356228021602103;18.1;1
5;0.410803368502739;18.1;1
5;0.44117355706186;18.1;2
5;0.461416510088372;18.1;3
9;0.479522866934845;18.1;1
9;0.503814410566659;18.1;2
9;0.584786222672705;18.1;3
14;0.639309738399163;18.1;1
14.5;0.552267919894839;18.1;1
14.5;0.525952080960374;18.1;2
14.5;0.499636242025909;18.1;3
14.5;0.473320403091444;18.1;4
17;0.479335698805865;18.1;1
17;0.501602947135028;18.1;2
17;0.525897370276519;18.1;3
19;0.442835034145259;18.1;1
19;0.46105369186912;18.1;2
19;0.497491007316841;18.1;3
23;0.448807137214532;18.1;1
23;0.485244452662253;18.1;2
31.5;0.416205328656044;18.1;1
31.5;0.499201436064742;18.1;2
31.5;0.646974993158277;18.1;3
48.2;0.379347604795539;18.1;1
48.2;0.421854926641537;18.1;2
