time;conc;expf;replicate
0;0;120;1
2;0.269143773334352;120;1
2;0.295367454185641;120;2
2;0.436977967653472;120;3
5;0.459570677309967;120;1
5;0.480549621990997;120;2
5;0.501528566672028;120;3
9;0.517094015446804;120;1
9;0.525832605526359;120;2
9;0.58702383105024;120;3
14;0.515134820386723;120;1
14;0.555344464358699;120;2
14.5;0.515113725419724;120;1
14.5;0.534347061581543;120;2
14.5;0.672455810527453;120;3
14.5;0.571052304160722;120;4
15;0.508081190796256;120;1
15;0.541297853207888;120;2
17;0.441563486104994;120;1
17;0.509747693189219;120;2
19;0.285882629648478;120;1
19;0.383784371493287;120;2
19;0.472944886387667;120;3
23;0.464032262830367;120;1
23;0.457036644399148;120;2
