time;conc;expf;replicate
0;0;499;1
2;0.422897748087845;499;1
5;0.573230263953048;499;1
5;0.590147540268837;499;2
5;0.610826915921999;499;3
9;0.644596558140855;499;1
9;0.676551413404013;499;2
9;0.791215657478228;499;3
14;0.580600300397576;499;1
14;0.629472431976524;499;2
14;0.665189386577054;499;3
14;0.687748459598636;499;4
14;0.736620591177584;499;5
17;0.736574612968572;499;1
17;0.68018369191594;499;2
17;0.702740060336993;499;3
20;0.723378866982203;499;1
20;0.66322855119273;499;2
20;0.648190972245361;499;3
23;0.678214742730026;499;1
23;0.665056861151079;499;2
23;0.657538071677395;499;3
32;0.653640742313517;499;1
32;0.58785133441878;499;2
48;0.64022592368421;499;1
48;0.606391371052631;499;2
86;0.541883943809163;499;1
86;0.48361332538811;499;2
86;0.438500588546005;499;3
128;0.375807948258235;499;1
128;0.29498096141613;499;2
128;0.253627619310866;499;3
128;0.214156679174555;499;4
