time	conc	replicate	expw
0	0	1	0.0001229
0.167	0.0048401	1	0.0001229
0.167	0.0140814	2	0.0001229
0.167	0.0049346	3	0.0001229
0.167	0.0123286	4	0.0001229
0.167	0.0051257	5	0.0001229
0.385	0.0140551	1	0.0001229
0.385	0.0206438	2	0.0001229
0.385	0.0105887	3	0.0001229
0.385	0.0072168	4	0.0001229
0.385	0.0121824	5	0.0001229
1.042	0.0394586	1	0.0001229
1.042	0.0413112	2	0.0001229
1.042	0.0405262	3	0.0001229
1.042	0.0345261	4	0.0001229
1.042	0.0508053	5	0.0001229
2.063	0.0563579	1	0.0001229
2.063	0.0537428	2	0.0001229
2.063	0.0957218	3	0.0001229
2.063	0.0483557	4	0.0001229
2.063	0.0520045	5	0.0001229
2.188	0.0707539	1	0.0001229
2.188	0.0622088	2	0.0001229
2.188	0.0313108	3	0.0001229
2.188	0.0295403	4	0.0001229
2.188	0.0529598	5	0.0001229
2.375	0.0631851	1	0.0001229
2.375	0.0585789	2	0.0001229
2.375	0.0584985	3	0.0001229
2.375	0.0369204	4	0.0001229
2.375	0.0514967	5	0.0001229
3	0.0793025	1	0.0001229
3	0.0576909	2	0.0001229
3	0.0505804	3	0.0001229
3	0.0379917	4	0.0001229
3	0.0366848	5	0.0001229
4.031	0.0718555	1	0.0001229
4.031	0.0370033	2	0.0001229
4.031	0.0403127	3	0.0001229
4.031	0.0499985	4	0.0001229
4.031	0.045715	5	0.0001229
5.094	0.033812	1	0.0001229
5.094	0.0332153	2	0.0001229
5.094	0.0431224	3	0.0001229
5.094	0.0321377	4	0.0001229
5.094	0.0412743	5	0.0001229
7.052	0.0271228	1	0.0001229
7.052	0.0370874	2	0.0001229
7.052	0.0317543	3	0.0001229
7.052	0.0287127	4	0.0001229
7.052	0.0389664	5	0.0001229
