time	conc	expf	replicate	concm1
0	5.59731328961987E-06	1.631	1	0.000030651340996167
1	6.79673756596699E-06	1.631	1	1.68316612406727E-06
3	0.000806812729889653	1.631	1	0.0000612140943015955
9	0.00108228050535743	1.631	1	0.000445773259805546
18	0.00428314409083639	1.631	1	0.000978451044227402
28	0.00629058052134974	1.631	1	0.00165845015835049
37	0.0145350231888693	1.631	1	0.00245600513808606
43	0.00830641292179753	1.631	1	0.0024288973047195
45	0.00605349432272509	1.631	1	0.00225313932629061
46	0.00671797537182152	1.631	1	0.00240054924368258
48	0.00738565488565488	1.631	1	0.00254831351183752
58	0.00939349112426035	1.631	1	0.00331663455362877
67	0.00569126819126819	1.631	1	0.00317294531924788
80	0.0069074844074844	1.631	1	0.00232480676809957
