time	conc	expf	replicate	concm1
0	0	1.631	1	0.000254237288135591
1	0.000134558933813291	1.631	1	0.000254237288135591
3	0.000982194510509742	1.631	1	0.000254237288135591
9	0.00182254504938827	1.631	1	0.00190677966101694
18	0.00606157999614321	1.631	1	0.00394067796610169
28	0.00774570932699106	1.631	1	0.00546610169491525
37	0.0153898566561676	1.631	1	0.00978813559322033
43	0.0124004199610036	1.631	1	0.0113135593220338
45	0.00913372329712241	1.631	1	0.0136016949152542
46	0.0061532857663217	1.631	1	0.00851694915254237
48	0.00969595680401105	1.631	1	0.011822033898305
58	0.00712519551755908	1.631	1	0.0127118644067796
67	0.00753358616699878	1.631	1	0.011822033898305
80	0.0042493197060273	1.631	1	0.00622881355932203
