time;conc;expw;replicate
0;0.109049134;9.85;1
1;3.788087663;9.85;1
1;4.766878756;9.85;2
2;9.207847296;9.85;1
2;13.99080947;9.85;2
5;19.81371509;9.85;1
5;15.57493814;9.85;2
7;21.41304348;9.85;1
7;16.84817957;9.85;2
7;8.369565217;9.85;3
8;32.26723224;9.85;1
8;36.18009897;9.85;2
8;17.8107105;9.85;3
9;29.64333687;9.85;1
9;27.57794274;9.85;2
9;24.86055143;9.85;3
12;21.98780488;9.85;1
12;13.83563097;9.85;2
12;11.77023683;9.85;3
14;17.17408978;9.85;1
14;26.30434783;9.85;2
14;10.76086957;9.85;3
