time;conc;expw;replicate
0;0.434959349593498;10.3;1
1;26.6148815835984;10.3;1
1;14.0061859314245;10.3;2
1;19.0063626723223;10.3;3
2;35.7299399080947;10.3;1
2;29.3168964298338;10.3;2
2;25.0774125132555;10.3;3
5;51.5528455284552;10.3;1
5;31.878932484977;10.3;2
7;51.0871332626369;10.3;1
7;41.3043478260869;10.3;2
7;2.06521739130435;10.3;3
8;52.158359844468;10.3;1
8;48.5714033227288;10.3;2
8;43.6800989749028;10.3;3
9;63.2301166489925;10.3;1
9;60.8388123011665;10.3;2
9;33.4469777306468;10.3;3
12;62.748851184164;10.3;1
12;35.4658890067161;10.3;2
14;71.0869565217391;10.3;1
14;42.5003534817957;10.3;2
14;21.9565217391304;10.3;3
