time;conc;expw;replicate
0;0.326263697;2.46;1
1;5.202014846;2.46;1
1;9.006185931;2.46;2
1;17.4844468;2.46;3
1;20.96270767;2.46;4
2;56.5989749;2.46;1
2;32.36037469;2.46;2
2;27.68663839;2.46;3
5;3.074584659;2.46;1
5;3.835454224;2.46;2
5;11.11788618;2.46;3
7;5.434782609;2.46;1
7;1.95669848;2.46;2
8;7.919406151;2.46;1
8;4.006716154;2.46;2
8;1.506362672;2.46;3
9;4.316542948;2.46;1
9;3.447331212;2.46;2
9;1.273064687;2.46;3
12;3.400848356;2.46;1
12;2.096677271;2.46;2
12;0.900671615;2.46;3
14;1.521915871;2.46;1
14;2.282608696;2.46;2
