time	conc	expw	replicate
0	0	1.8	1
0.5	5.5359023216166	1.8	1
0.5	6.21145264002406	1.8	2
0.5	6.58000300857443	1.8	3
0.5	6.51857794714937	1.8	4
1	7.25831118688261	1.8	1
1	8.11826204683346	1.8	2
1	9.40806297949154	1.8	3
1	11.9879155593441	1.8	4
2	12.4229052800481	1.8	1
2	12.9143057714486	1.8	2
2	13.8358070500927	1.8	3
2	13.098706312992	1.8	4
4	17.2858897858897	1.8	1
4	15.1360126360126	1.8	2
4	14.4600862458005	1.8	3
4	14.8900616757759	1.8	4
6	22.2715990573133	1.8	1
6	21.3500977786692	1.8	2
6	21.0429724715438	1.8	3
6	20.1214711928997	1.8	4
9	23.4538434538434	1.8	1
9	23.1467181467181	1.8	2
9	21.5496665496665	1.8	3
9	20.1980644837787	1.8	4
12	25.3734393020107	1.8	1
12	22.0566113423256	1.8	2
12	21.0121345835631	1.8	3
12	19.7837587123301	1.8	4
