time	conc	expw	replicate
0	0	1.8	1
0.5	4.6068796068796	1.8	1
0.5	5.46683046683046	1.8	2
0.5	5.95823095823096	1.8	3
0.5	6.75675675675675	1.8	4
1	8.41523341523341	1.8	1
1	9.15233415233414	1.8	2
1	9.52088452088451	1.8	3
2	10.1351351351351	1.8	1
2	11.3022113022113	1.8	2
2	12.039312039312	1.8	3
2	13.6363636363636	1.8	4
4	15.4176904176904	1.8	1
4	16.2162162162162	1.8	2
4	17.5061425061425	1.8	3
4	19.041769041769	1.8	4
6	20.2088452088452	1.8	1
6	22.051597051597	1.8	2
6	23.034398034398	1.8	3
6	24.5085995085995	1.8	4
9	25.1228501228501	1.8	1
9	23.4643734643734	1.8	2
9	21.8673218673218	1.8	3
9	20.02457002457	1.8	4
12	19.2874692874692	1.8	1
12	22.051597051597	1.8	2
12	23.095823095823	1.8	3
12	24.5085995085995	1.8	4
