time	conc	replicate	expw
0	0	1	1.4
0.5	2.526074312	1	1.4
0.5	2.648924435	2	1.4
0.5	2.894499323	3	1.4
0.5	3.263175049	4	1.4
1	3.388532317	1	1.4
1	3.818507747	2	1.4
1	4.064207993	3	1.4
1	4.617033546	4	1.4
2	4.376347591	1	1.4
2	4.622047836	2	1.4
2	5.113448328	3	1.4
2	4.929173143	4	1.4
4	5.860953718	1	1.4
4	5.430978288	2	1.4
4	4.939452439	3	1.4
6	4.949731735	1	1.4
6	5.318282104	2	1.4
6	5.318282104	3	1.4
6	5.748132177	4	1.4
9	4.965150679	1	1.4
9	5.333701048	2	1.4
9	5.272025272	3	1.4
9	5.702376774	4	1.4
12	5.963245249	1	1.4
12	5.655994585	2	1.4
12	5.410294339	3	1.4
12	4.980318909	4	1.4
