time	conc	expw	replicate
0	0	1.4	1
0.5	1.91661501321241	1.4	1
0.5	2.47080220533063	1.4	2
0.5	3.33287117084787	1.4	3
1	4.19725094879239	1.4	1
1	3.88936917539338	1.4	2
1	3.39675833795496	1.4	3
2	4.51056992790265	1.4	1
2	5.00318076534107	1.4	2
2	5.6189443121391	1.4	3
4	4.39734011896606	1.4	1
4	4.70522189236507	1.4	2
4	5.32098543916311	1.4	3
6	4.71541665307365	1.4	1
6	5.33118019987168	1.4	2
6	5.7622146826303	1.4	3
9	4.66933633467089	1.4	1
9	5.53113343990257	1.4	2
9	5.65428614926217	1.4	3
12	4.93072999923879	1.4	1
12	5.17703541795801	1.4	2
12	5.48491719135702	1.4	3
