time	conc	replicate	expw
0	0	1	0.00049
0.146	0.0023544	1	0.00049
0.146	0.0023653	2	0.00049
0.146	0.0025254	3	0.00049
0.146	0.0075936	4	0.00049
0.146	0.0138248	5	0.00049
0.792	0.0395803	1	0.00049
0.792	0.0304303	2	0.00049
0.792	0.038872	3	0.00049
0.792	0.0416475	4	0.00049
1	0.0331952	1	0.00049
1	0.0378061	2	0.00049
1	0.032542	3	0.00049
1	0.0374082	4	0.00049
2.073	0.1010976	1	0.00049
2.073	0.0559156	2	0.00049
2.073	0.0631647	3	0.00049
2.073	0.0432145	4	0.00049
2.073	0.0470614	5	0.00049
2.198	0.0712138	1	0.00049
2.198	0.0749949	2	0.00049
2.198	0.0647843	3	0.00049
2.198	0.0760337	4	0.00049
2.323	0.0926899	1	0.00049
2.323	0.067504	2	0.00049
2.323	0.0598112	3	0.00049
2.323	0.0668876	4	0.00049
2.323	0.1080799	5	0.00049
2.907	0.0831271	1	0.00049
2.907	0.0756638	2	0.00049
2.907	0.0741226	3	0.00049
2.907	0.0805563	4	0.00049
3.99	0.0403044	1	0.00049
3.99	0.0921172	2	0.00049
3.99	0.1492657	3	0.00049
3.99	0.0585324	4	0.00049
3.99	0.0738983	5	0.00049
4.969	0.0859131	1	0.00049
4.969	0.0893889	2	0.00049
4.969	0.0628805	3	0.00049
4.969	0.0542149	4	0.00049
7.031	0.0163143	1	0.00049
7.031	0.0176635	2	0.00049
7.031	0.0152895	3	0.00049
7.031	0.0136969	4	0.00049
7.031	0.0123918	5	0.00049
