time	conc	expf	replicate
0	0.168449197860962	155	1
2	2.55481283422459	155	1
6	2.87299465240641	155	1
13	3.97727272727272	155	1
20	3.7807486631016	155	1
27	3.69652406417112	155	1
34	4.91310160427807	155	1
41	5.05347593582887	155	1
48	5.04411764705882	155	1
55	6.62566844919785	155	1
62	6.45721925133689	155	1
69	6.59759358288769	155	1
76	6.8783422459893	155	1
83	6.82219251336898	155	1
90	7.18716577540106	155	1
92	3.94919786096256	155	1
96	0.907754010695185	155	1
100	0.879679144385025	155	1
107	0.495989304812833	155	1
114	0.280748663101602	155	1
121	0.271390374331549	155	1
