time;expw;conc;replicate
0;507.703;0.00829005;1
3;507.703;66.5305;1
6;507.703;86.7604;1
9;507.703;115.829;1
12;507.703;140.078;1
0;527.2526;0.0134801;2
3;527.2526;26.2403;2
6;527.2526;47.7118;2
9;527.2526;62.8805;2
12;527.2526;68.7928;2
0;527.3056;0.00982451;3
3;527.3056;21.8284;3
6;527.3056;27.6798;3
9;527.3056;28.1682;3
12;527.3056;33.9412;3
0;526.9814;0.0134801;4
3;526.9814;19.8587;4
6;526.9814;49.0041;4
9;526.9814;61.1863;4
12;526.9814;75.4809;4
0;1.814540769;0.0217543;5
6;1.814540769;0.117145;5
12;1.814540769;0.197235;5
18;1.814540769;0.330368;5
24;1.814540769;0.491407;5
30;1.814540769;0.696923;5
36;1.814540769;0.710222;5
42;1.814540769;1.12256;5
48;1.814540769;0.921386;5
54;1.814540769;1.012;5
60;1.814540769;1.47972;5
66;1.814540769;1.61042;5
72;1.814540769;1.29549;5
0;19.83972308;0.0217543;6
6;19.83972308;1.44793;6
12;19.83972308;1.91202;6
18;19.83972308;4.02573;6
24;19.83972308;4.84086;6
30;19.83972308;5.04332;6
36;19.83972308;6.11674;6
42;19.83972308;9.5599;6
48;19.83972308;9.21889;6
54;19.83972308;8.37061;6
60;19.83972308;9.98842;6
66;19.83972308;12.955;6
72;19.83972308;12.3338;6
0;203.0696154;0.0217543;7
6;203.0696154;10.3994;7
12;203.0696154;21.2428;7
18;203.0696154;36.6542;7
24;203.0696154;50.5276;7
30;203.0696154;54.6809;7
36;203.0696154;67.2418;7
42;203.0696154;67.7652;7
48;203.0696154;70.4613;7
54;203.0696154;82.4601;7
60;203.0696154;114.293;7
66;203.0696154;128.528;7
72;203.0696154;139.027;7
