time	conc	replicate	expw
0	0	1	0.000164
0.135	0.0060271	1	0.000164
0.135	0.0672832	2	0.000164
0.135	0.0091035	3	0.000164
0.135	0.0865341	4	0.000164
0.135	0.0059529	5	0.000164
0.344	0.0097599	1	0.000164
0.344	0.015928	2	0.000164
0.344	0.010964	3	0.000164
0.344	0.0103868	4	0.000164
1.052	0.0250068	1	0.000164
1.052	0.0251968	2	0.000164
1.052	0.0303636	3	0.000164
1.052	0.0403911	4	0.000164
1.052	0.0290472	5	0.000164
1.99	0.0310535	1	0.000164
1.99	0.0687227	2	0.000164
1.99	0.0290546	3	0.000164
1.99	0.0467339	4	0.000164
2.115	0.0430369	1	0.000164
2.115	0.0573264	2	0.000164
2.115	0.0560524	3	0.000164
2.115	0.0548352	4	0.000164
2.115	0.037627	5	0.000164
2.354	0.0374838	1	0.000164
2.354	0.0499748	2	0.000164
2.354	0.048554	3	0.000164
2.354	0.0255575	4	0.000164
3.01	0.0321573	1	0.000164
3.01	0.1144384	2	0.000164
3.01	0.0625493	3	0.000164
3.01	0.0392498	4	0.000164
3.01	0.2069947	5	0.000164
4	0.0269658	1	0.000164
4	0.0412776	2	0.000164
4	0.0359767	3	0.000164
4	0.0356289	4	0.000164
4	0.0359829	5	0.000164
4.948	0.0235044	1	0.000164
4.948	0.0334872	2	0.000164
4.948	0.0243153	3	0.000164
4.948	0.0450559	4	0.000164
4.948	0.0454285	5	0.000164
7	0.0343708	1	0.000164
7	0.0378404	2	0.000164
7	0.0186928	3	0.000164
7	0.0278085	4	0.000164
7	0.0247488	5	0.000164
