time	conc	replicate	expw
0	0	1	0.002093
0.146	0.0254821	1	0.002093
0.146	0.010973	2	0.002093
0.146	0.0116423	3	0.002093
0.146	0.0178211	4	0.002093
0.146	0.0472263	5	0.002093
0.344	0.0321768	1	0.002093
0.344	0.0310011	2	0.002093
0.344	0.0255218	3	0.002093
0.344	0.0285424	4	0.002093
1.156	0.022668	1	0.002093
1.156	0.0431132	2	0.002093
1.156	0.0530146	3	0.002093
1.156	0.0987761	4	0.002093
1.156	0.0590158	5	0.002093
2.021	0.0867229	1	0.002093
2.021	0.0477704	2	0.002093
2.021	0.1307621	3	0.002093
2.021	0.0948814	4	0.002093
2.021	0.1549591	5	0.002093
2.167	0.1219308	1	0.002093
2.167	0.0712859	2	0.002093
2.167	0.0765604	3	0.002093
2.167	0.0886587	4	0.002093
2.167	0.1569327	5	0.002093
2.271	0.0340589	1	0.002093
2.271	0.0438358	2	0.002093
2.271	0.0630811	3	0.002093
2.271	0.1138024	4	0.002093
2.271	0.0627912	5	0.002093
2.927	0.0700343	1	0.002093
2.927	0.0708168	2	0.002093
2.927	0.0730163	3	0.002093
2.927	0.1412944	4	0.002093
2.927	0.1557654	5	0.002093
3.927	0.0579424	1	0.002093
3.927	0.0857939	2	0.002093
3.927	0.1179707	3	0.002093
3.927	0.1183178	4	0.002093
3.927	0.066776	5	0.002093
4.979	0.0789386	1	0.002093
4.979	0.0662613	2	0.002093
4.979	0.0776067	3	0.002093
4.979	0.0704764	4	0.002093
6.969	0.0742082	1	0.002093
6.969	0.0839292	2	0.002093
6.969	0.0718851	3	0.002093
6.969	0.0724999	4	0.002093
6.969	0.086144	5	0.002093
