time	conc	replicate	expw
0	0	1	0.0009165
0.083	0.0082218	1	0.0009165
0.083	0.0173186	2	0.0009165
0.083	0.0116976	3	0.0009165
0.083	0.0073816	4	0.0009165
0.083	0.0051421	5	0.0009165
0.292	0.0286505	1	0.0009165
0.292	0.021554	2	0.0009165
0.292	0.0233261	3	0.0009165
0.292	0.0206465	4	0.0009165
0.292	0.026008	5	0.0009165
1	0.0311491	1	0.0009165
1	0.0589188	2	0.0009165
1	0.0693834	3	0.0009165
1	0.051729	4	0.0009165
1.977	0.0663279	1	0.0009165
1.977	0.090093	2	0.0009165
1.977	0.1177173	3	0.0009165
1.977	0.0749418	4	0.0009165
1.977	0.0495486	5	0.0009165
2.081	0.0472237	1	0.0009165
2.081	0.1076825	2	0.0009165
2.081	0.0999242	3	0.0009165
2.081	0.0691016	4	0.0009165
2.081	0.0425768	5	0.0009165
2.3	0.0149914	1	0.0009165
2.3	0.0616608	2	0.0009165
2.3	0.0479286	3	0.0009165
2.3	0.0203809	4	0.0009165
2.3	0.0724666	5	0.0009165
2.935	0.0214419	1	0.0009165
2.935	0.0448418	2	0.0009165
2.935	0.0466607	3	0.0009165
2.935	0.0737178	4	0.0009165
2.935	0.082892	5	0.0009165
3.956	0.0494594	1	0.0009165
3.956	0.0510694	2	0.0009165
3.956	0.1003262	3	0.0009165
3.956	0.0206208	4	0.0009165
3.956	0.0572224	5	0.0009165
4.894	0.0344338	1	0.0009165
4.894	0.0837967	2	0.0009165
4.894	0.0680243	3	0.0009165
4.894	0.0616053	4	0.0009165
4.894	0.0517645	5	0.0009165
6.956	0.0388914	1	0.0009165
6.956	0.0716478	2	0.0009165
6.956	0.0524375	3	0.0009165
6.956	0.0161232	4	0.0009165
6.956	0.0537843	5	0.0009165
