time	conc	replicate	expw
0	0	1	0.0001636
0.135	0.0067066	1	0.0001636
0.135	0.0068195	2	0.0001636
0.135	0.0104329	3	0.0001636
0.135	0.0069472	4	0.0001636
0.344	0.0109004	1	0.0001636
0.344	0.0243629	2	0.0001636
0.344	0.0106856	3	0.0001636
0.344	0.0095133	4	0.0001636
1.052	0.0315022	1	0.0001636
1.052	0.0338357	2	0.0001636
1.052	0.020985	3	0.0001636
1.052	0.0192587	4	0.0001636
2.094	0.0461645	1	0.0001636
2.094	0.080814	2	0.0001636
2.094	0.0663526	3	0.0001636
2.094	0.0377198	4	0.0001636
2.167	0.1157573	1	0.0001636
2.167	0.0502613	2	0.0001636
2.167	0.048856	3	0.0001636
2.167	0.0617773	4	0.0001636
2.417	0.0877383	1	0.0001636
2.417	0.0503053	2	0.0001636
2.417	0.087078	3	0.0001636
2.417	0.1078349	4	0.0001636
3.052	0.059318	1	0.0001636
3.052	0.0733363	2	0.0001636
3.052	0.0657557	3	0.0001636
3.052	0.0729871	4	0.0001636
4.01	0.0809761	1	0.0001636
4.01	0.0668131	2	0.0001636
4.01	0.0634451	3	0.0001636
5.073	0.0609425	1	0.0001636
5.073	0.0626108	2	0.0001636
5.073	0.0528141	3	0.0001636
7.094	0.0588142	1	0.0001636
7.094	0.0505852	2	0.0001636
7.094	0.0873186	3	0.0001636
7.094	0.0701935	4	0.0001636
7.094	0.074201	5	0.0001636
