time	conc	exps	replicate
0	113.0288462	3254.2	A
0	141.4683333	3254.2	B
0	140.6935976	3254.2	C
0	149.5833333	3254.2	D
0	151.7424242	3254.2	E
0.5	162.079646	3254.2	A
0.5	177.5438596	3254.2	B
0.5	266.7840909	3254.2	C
0.5	269.9013158	3254.2	D
1	407.4917219	3254.2	A
1	419.0068493	3254.2	B
1	344.3548387	3254.2	C
1	464.1455696	3254.2	D
2	362.1618852	3254.2	A
2	461.2130802	3254.2	B
2	589.1595745	3254.2	C
2	854.520202	3254.2	D
5	1250	3254.2	A
5	951.863354	3254.2	B
5	614.8907104	3254.2	C
5	1010.9375	3254.2	D
7	738.0869565	3254.2	A
7	225.3903904	3254.2	B
7	604.0285714	3254.2	C
7	413.3798883	3254.2	D
14	717.3375	3254.2	A
14	665.3225806	3254.2	B
14	563.989899	3254.2	D
21	430.9386973	3254.2	A
21	1195.852535	3254.2	B
21	655.0925926	3254.2	C
21	1178.427419	3254.2	D
28	489.602649	3254.2	A
28	555.1038062	3254.2	B
28	888.9318885	3254.2	C
28	551.1522346	3254.2	D
0	113.0288462	8151.3	A
0	141.4683333	8151.3	B
0	140.6935976	8151.3	C
0	149.5833333	8151.3	D
0	151.7424242	8151.3	E
0.5	281.1496914	8151.3	A
0.5	291.7119565	8151.3	B
0.5	314.3815789	8151.3	C
0.5	223.8858696	8151.3	D
1	398.0144404	8151.3	A
1	349.8788927	8151.3	B
1	307.0810056	8151.3	C
1	363.3084677	8151.3	D
2	432.9151625	8151.3	A
2	472.029148	8151.3	B
2	354.4009217	8151.3	C
2	840.9042553	8151.3	D
5	376.8835616	8151.3	A
5	398.8341969	8151.3	B
5	461.6580311	8151.3	C
5	517.5	8151.3	D
7	371.4359504	8151.3	A
7	541.3434579	8151.3	B
7	394.1129032	8151.3	C
7	812.8396739	8151.3	D
14	526.9588745	8151.3	A
14	818.8023256	8151.3	B
14	877.7247191	8151.3	C
14	718.5645933	8151.3	D
21	356.8488372	8151.3	A
21	376.2659574	8151.3	B
21	995.3871681	8151.3	C
28	633.9558824	8151.3	B
28	577.2635135	8151.3	C
28	707.2234513	8151.3	D
0	113.0288462	1310.7	A
0	141.4683333	1310.7	B
0	140.6935976	1310.7	C
0	149.5833333	1310.7	D
0	151.7424242	1310.7	E
0.5	288.0595668	1310.7	A
0.5	274.5187793	1310.7	B
0.5	239.5833333	1310.7	C
0.5	220.6155779	1310.7	D
1	417.9460967	1310.7	A
1	370.0440529	1310.7	B
1	464.4393939	1310.7	C
1	489.1509434	1310.7	D
2	491.4073427	1310.7	A
2	498.6216216	1310.7	B
2	574.684466	1310.7	C
2	408.1756757	1310.7	D
5	801.2331839	1310.7	A
5	749.2708333	1310.7	B
5	856.2022901	1310.7	C
5	897.2627737	1310.7	D
7	1074.275701	1310.7	A
7	1011.141304	1310.7	B
7	955.4473684	1310.7	C
7	993.5022523	1310.7	D
14	1469.651163	1310.7	A
14	919.1706731	1310.7	B
14	964.8417722	1310.7	C
14	1516	1310.7	D
21	1463.653846	1310.7	A
21	1524.53271	1310.7	B
21	956.5720524	1310.7	C
21	2164.888889	1310.7	D
28	1734.615385	1310.7	A
28	1065.29304	1310.7	B
28	1510.025381	1310.7	C
28	1196.734694	1310.7	D
