time;conc;expf;replicate
0;3.56572490490435;888;1
4;9.23729135349685;888;1
4;23.3715354015014;888;2
4;29.0261264621728;888;3
8;34.7003732351739;888;1
8;38.9397530081057;888;2
8;60.1411190801126;888;3
14;84.1970306472761;888;1
14;103.984972314482;888;2
28;84.2631453160215;888;1
28;123.839028650434;888;2
56;235.631785967161;888;1
56;251.886166622366;888;2
56;289.34012646664;888;3
84;64.7396623237966;888;1
84;321.98290399748;888;2
84;361.557000448954;888;3
88;213.167093657235;888;1
88;350.97597312528;888;2
88;389.138432054893;888;3
90;386.324984867335;888;1
90;376.431014033731;888;2
90;358.059177095734;888;3
98;177.877942493639;888;1
98;302.26018355755;888;2
98;357.383735344767;888;3
112;100.207501781298;888;1
112;167.34516100932;888;2
112;232.361790188672;888;3
140;82.6710326173145;888;1
140;151.927935011067;888;2
140;187.265332014018;888;3
168;256.655357186731;888;1
168;120.963934001478;888;2
168;112.484281014145;888;3
