time	conc	replicate	expw
0	0	1	0.01
0.083	1.02	1	0.01
1	1.27	1	0.01
2	2.17	1	0.01
6	3.66	1	0.01
7	1.32	1	0.01
8	1.09	1	0.01
12	1.61	1	0.01
0	0	2	0.01
0.083	1.8	2	0.01
1	3.36	2	0.01
2	2.71	2	0.01
6	6.65	2	0.01
7	2.27	2	0.01
8	2.3	2	0.01
12	2.05	2	0.01
0	0	1	0.025
0.083	1.2	1	0.025
1	2.94	1	0.025
2	3.57	1	0.025
6	4.65	1	0.025
7	1.52	1	0.025
8	1.73	1	0.025
12	1.89	1	0.025
0	0	2	0.025
0.083	4.7	2	0.025
1	11.04	2	0.025
2	6.65	2	0.025
6	10.91	2	0.025
7	3.37	2	0.025
8	3.13	2	0.025
12	2.88	2	0.025
0	0	1	0.1
0.083	2.95	1	0.1
1	10.02	1	0.1
2	15.45	1	0.1
6	12.82	1	0.1
7	5.75	1	0.1
8	5.08	1	0.1
12	3.15	1	0.1
0	0	2	0.1
0.083	14.66	2	0.1
1	29.54	2	0.1
2	30.51	2	0.1
6	28.65	2	0.1
7	15.46	2	0.1
8	11.77	2	0.1
12	9.07	2	0.1
