time	conc	replicate	expw
0	0	1	0.01
0.083	19.88	1	0.01
1	48.43	1	0.01
2	54.28	1	0.01
6	30.32	1	0.01
7	16.39	1	0.01
8	17.68	1	0.01
12	11.29	1	0.01
0	0	2	0.01
0.083	18.37	2	0.01
1	40.66	2	0.01
2	60.35	2	0.01
6	42.43	2	0.01
7	13.88	2	0.01
8	12.49	2	0.01
12	8.23	2	0.01
0	0	1	0.025
0.083	81.76	1	0.025
1	148.83	1	0.025
2	66.51	1	0.025
6	72.79	1	0.025
7	24.21	1	0.025
8	21.55	1	0.025
12	21.29	1	0.025
0	0	2	0.025
0.083	76.13	2	0.025
1	107.07	2	0.025
2	132.7	2	0.025
6	72.59	2	0.025
7	24.71	2	0.025
8	24.79	2	0.025
12	15.04	2	0.025
0	0	1	0.1
0.083	110.04	1	0.1
1	229.05	1	0.1
2	256.15	1	0.1
6	146.31	1	0.1
7	51.36	1	0.1
8	56.04	1	0.1
12	46.07	1	0.1
0	0	2	0.1
0.083	272.27	2	0.1
1	275.21	2	0.1
2	259.24	2	0.1
6	239.26	2	0.1
7	52.78	2	0.1
8	63.88	2	0.1
12	42.08	2	0.1
