time	conc	replicate	expw
0	0	1	0.01
0.083	0.72	1	0.01
1	1.89	1	0.01
2	0.84	1	0.01
6	2.49	1	0.01
7	0.45	1	0.01
8	0.4	1	0.01
12	1.82	1	0.01
0	0	2	0.01
0.083	3.01	2	0.01
1	3.36	2	0.01
2	3.85	2	0.01
6	4.34	2	0.01
7	0	2	0.01
8	0	2	0.01
12	0	2	0.01
0	0	1	0.025
0.083	0.61	1	0.025
1	2.36	1	0.025
2	3.03	1	0.025
6	4.5	1	0.025
7	1.19	1	0.025
8	1.4	1	0.025
12	1.85	1	0.025
0	0	2	0.025
0.083	6.75	2	0.025
1	7.33	2	0.025
2	9.46	2	0.025
6	7.78	2	0.025
7	0	2	0.025
8	0	2	0.025
12	0	2	0.025
0	0	1	0.1
0.083	1.27	1	0.1
1	32.43	1	0.1
2	17.45	1	0.1
6	13.46	1	0.1
7	7.44	1	0.1
8	6.9	1	0.1
12	4.11	1	0.1
0	0	2	0.1
0.083	22.33	2	0.1
1	31.86	2	0.1
2	33.26	2	0.1
6	30.14	2	0.1
7	8.12	2	0.1
8	6.38	2	0.1
12	4.42	2	0.1
