time	conc	replicate	expw
0	0	1	0.01
0.083	12.01	1	0.01
1	50.14	1	0.01
2	58.24	1	0.01
6	75.49	1	0.01
7	22.06	1	0.01
8	28.55	1	0.01
12	27.22	1	0.01
0	0	2	0.01
0.083	32.52	2	0.01
1	112.44	2	0.01
2	135.65	2	0.01
6	159.08	2	0.01
7	65.37	2	0.01
8	66.59	2	0.01
12	68.21	2	0.01
0	0	1	0.025
0.083	54.34	1	0.025
1	179.26	1	0.025
2	161.3	1	0.025
6	212.9	1	0.025
7	94.85	1	0.025
8	116.04	1	0.025
12	120.04	1	0.025
0	0	2	0.025
0.083	97.41	2	0.025
1	377.38	2	0.025
2	290.2	2	0.025
6	371.61	2	0.025
7	255.51	2	0.025
8	227.17	2	0.025
12	286.69	2	0.025
0	0	1	0.1
0.083	194.84	1	0.1
1	900.06	1	0.1
2	890.58	1	0.1
6	673.24	1	0.1
7	574.47	1	0.1
8	641.16	1	0.1
12	525.78	1	0.1
0	0	2	0.1
0.083	409.65	2	0.1
1	1058.73	2	0.1
2	935.23	2	0.1
6	832.82	2	0.1
7	645	2	0.1
8	619.9	2	0.1
12	664.49	2	0.1
