"dataset","genus","category","substance","duration of accumulation","exposure route","n (replicate)","Kinetic biaccumulation factor","report","reference","comments"
"<a href='Asellus_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Asellus_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Asellus</i>","aquatic invertebrate","cypermethrine","24 hours","water","16 (2)","514 </br> [422 - 629]","<a href='Asellus_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a id='cite-Dalhoff2020'target='_blank'></a><a href='http://dx.doi.org/10.1021/acs.est.0c00189'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Axinella_Ag_7.04d_Genta2012.txt'target='_blank'>Axinella_Ag_7.04d_Genta2012.txt</a>","<i>Axinella</i>","seawater sponge","Ag","7.04 days","water","66 (3)","3267 </br> [2558 - 4285]","<a href='Axinella_Ag_7.04d_Genta2012.pdf' target='_blank'>Link</a>","<a id='cite-Genta2012'target='_blank'></a><a href='http://dx.doi.org/10.1016/j.chemosphere.2012.04.052'>Genta-Jouve<i> et al.</i> (2012)</a>",NA
"<a href='Axinella_Hg_7.04d_Genta2012.txt'target='_blank'>Axinella_Hg_7.04d_Genta2012.txt</a>","<i>Axinella</i>","seawater sponge","Hg","7.04 days","water","66 (3)","3275 </br> [2561 - 4271]","<a href='Axinella_Hg_7.04d_Genta2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1016/j.chemosphere.2012.04.052'target='_blank'>Genta-Jouve<i> et al.</i> (2012)</a>",NA
"<a href='Calanus_dodecane_88h_Agersted2018.txt'target='_blank'>Calanus_dodecane_88h_Agersted2018.txt</a>","<i>Calanus</i>","aquatic invertebrate","dodecane","88 hours","water","17 (3)","118756 </br> [33521 - 2509635]","<a href='Calanus_dodecane_88h_Agersted2018.pdf' target='_blank'>Link</a>","<a id='cite-Agersted2018'target='_blank'></a><a href='http://dx.doi.org/10.1016/j.aquatox.2017.12.001'>Agersted<i> et al.</i> (2018)</a>",NA
"<a href='Calanus_phenanthrene_88h_Agersted2018.txt'target='_blank'>Calanus_phenanthrene_88h_Agersted2018.txt</a>","<i>Calanus</i>","aquatic invertebrate","phenanthrene","88 hours","water","16 (3)","117733 </br> [82830 - 202192]","<a href='Calanus_phenanthrene_88h_Agersted2018.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1016/j.aquatox.2017.12.001'target='_blank'>Agersted<i> et al.</i> (2018)</a>",NA
"<a href='Chaetopteryx_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Chaetopteryx_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Chaetopteryx</i>","insect","cypermethrine","24 hours","water","16 (2)","40 </br> [32 - 49]","<a href='Chaetopteryx_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Chironomus_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Chironomus_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Chironomus</i>","aquatic invertebrate","cypermethrine","24 hours","water","16 (2)","209 </br> [173 - 252]","<a href='Chironomus_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Chlorella_4-tert-octylphenol_24h_Achar2020.txt'target='_blank'>Chlorella_4-tert-octylphenol_24h_Achar2020.txt</a>","<i>Chlorella</i>","aquatic algae","4-tert-octylphenol","24 hours","water","11 (2)","531 </br> [0 - 1165]","<a href='Chlorella_4-tert-octylphenol_24h_Achar2020.pdf' target='_blank'>Link</a>","<a id='cite-Achar2020'target='_blank'></a><a href='http://dx.doi.org/10.1016/j.ecoenv.2020.110379'>Achar<i> et al.</i> (2020)</a>",NA
"<a href='Danio_atrazine_48h_El-Amrani2012.csv'target='_blank'>Danio_atrazine_48h_El-Amrani2012.csv</a>","<i>Danio</i>","fish","atrazine","48 hours","water","30 (3)","11 </br> [10 - 11]","<a href='Danio_atrazine_48h_El-Amrani2012.pdf' target='_blank'>Link</a>","<a id='cite-El-Amrani2012'target='_blank'></a><a href='https://doi.org/10.1016/j.scitotenv.2012.02.065'>El-Amrani<i> et al.</i> (2012)</a>","2 tested concentrations"
"<a href='Danio_chlorpyrifos_48h_El-Amrani2012.csv'target='_blank'>Danio_chlorpyrifos_48h_El-Amrani2012.csv</a>","<i>Danio</i>","fish","chlorpyrifos","48 hours","water","35 (6)","1247 </br> [1097 - 1398]","<a href='Danio_chlorpyrifos_48h_El-Amrani2012.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1016/j.scitotenv.2012.02.065'target='_blank'>El-Amrani<i> et al.</i> (2012)</a>","2 tested concentrations"
"<a href='Danio_dicofol_48h_El-Amrani2012.csv'target='_blank'>Danio_dicofol_48h_El-Amrani2012.csv</a>","<i>Danio</i>","fish","dicofol","48 hours","water","33 (3)","5153 </br> [4707 - 5682]","<a href='Danio_dicofol_48h_El-Amrani2012.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1016/j.scitotenv.2012.02.065'target='_blank'>El-Amrani<i> et al.</i> (2012)</a>",NA
"<a href='Daphnia_4-tert-octylphenol_9h_Achar2020.txt'target='_blank'>Daphnia_4-tert-octylphenol_9h_Achar2020.txt</a>","<i>Daphnia</i>","aquatic invertebrate","4-tert-octylphenol","9 hours","water","14 (2)","3188 </br> [2243 - 4454]","<a href='Daphnia_4-tert-octylphenol_9h_Achar2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1016/j.ecoenv.2020.110379'target='_blank'>Achar<i> et al.</i> (2020)</a>",NA
"<a href='Daphnia_alpha-cypermethrine propiconazole_7.5h_Kretschmann2016.txt'target='_blank'>Daphnia_alpha-cypermethrine propiconazole_7.5h_Kretschmann2016.txt</a>","<i>Daphnia</i>","aquatic invertebrate","alpha-cypermethrine propiconazole","7.5 hours","water","24 (3)","511 </br> [351 - 733]","<a href='Daphnia_alpha-cypermethrine-propiconazole_7.5h_Kretschmann2016.pdf' target='_blank'>Link</a>","<a id='cite-Kretschmann2016'target='_blank'></a><a href='https://doi.org/10.1007/s00216-015-9197-x'>Kretschmann<i> et al.</i> (2016)</a>",NA
"<a href='Daphnia_alpha-cypermethrine_7.5h_Kretschmann2016.txt'target='_blank'>Daphnia_alpha-cypermethrine_7.5h_Kretschmann2016.txt</a>","<i>Daphnia</i>","aquatic invertebrate","alpha-cypermethrine","7.5 hours","water","22 (2)","364 </br> [302 - 427]","<a href='Daphnia_alpha-cypermethrine_7.5h_Kretschmann2016.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1007/s00216-015-9197-x'target='_blank'>Kretschmann<i> et al.</i> (2016)</a>",NA
"<a href='Daphnia_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Daphnia_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Daphnia</i>","aquatic invertebrate","cypermethrine","24 hours","water","16 (2)","562 </br> [472 - 650]","<a href='Daphnia_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Daphnia_diazinon_21h_Kretschmann2011.csv'target='_blank'>Daphnia_diazinon_21h_Kretschmann2011.csv</a>","<i>Daphnia</i>","aquatic invertebrate","diazinon","21 hours","water","30 (6)","428 </br> [399 - 457]","<a href='Daphnia_diazinon_21h_Kretschmann2011.pdf' target='_blank'>Link</a>","<a id='cite-Kretschmann2011'target='_blank'></a><a href='https://doi.org/10.1021/es104324v'>Kretschmann<i> et al.</i> (2011)</a>",NA
"<a href='Daphnia_imidacloprid_90h_Li2021.csv'target='_blank'>Daphnia_imidacloprid_90h_Li2021.csv</a>","<i>Daphnia</i>","aquatic invertebrate","imidacloprid","90 hours","water","36 (3)","1183 </br> [1150 - 1215]","<a href='Daphnia_imidacloprid_90h_Li2021.pdf' target='_blank'>Link</a>","<a id='cite-Li2021'target='_blank'></a><a href=' 
        https://doi.org/10.1021/acs.est.0c05664
    
'>Li<i> et al.</i> (2021)</a>",NA
"<a href='Daphnia_TPT_72h_Gergs2016_intermediate.txt'target='_blank'>Daphnia_TPT_72h_Gergs2016_intermediate.txt</a>","<i>Daphnia</i>","aquatic invertebrate","TPT","72 hours","water","9 (1)","793 </br> [0 - 1635]","<a href='Daphnia_TPT_72h_Gergs2016_intermediate.pdf' target='_blank'>Link</a>","<a id='cite-Gergs2016'target='_blank'></a><a href=' 
        https://doi.org/10.1021/acs.est.6b01113
    
'>Gergs<i> et al.</i> (2016)</a>","intermediate size"
"<a href='Daphnia_TPT_72h_Gergs2016_large.txt'target='_blank'>Daphnia_TPT_72h_Gergs2016_large.txt</a>","<i>Daphnia</i>","aquatic invertebrate","TPT","72 hours","water","8 (1)","1023 </br> [0 - 27280]","<a href='Daphnia_TPT_72h_Gergs2016_large.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.6b01113
    
'target='_blank'>Gergs<i> et al.</i> (2016)</a>","large"
"<a href='Daphnia_TPT_72h_Gergs2016_small.txt'target='_blank'>Daphnia_TPT_72h_Gergs2016_small.txt</a>","<i>Daphnia</i>","aquatic invertebrate","TPT","72 hours","water","9 (1)","1406 </br> [671 - 2143]","<a href='Daphnia_TPT_72h_Gergs2016_small.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.6b01113
    
'target='_blank'>Gergs<i> et al.</i> (2016)</a>","small size"
"<a href='Eisenia_tebuconazol_21h_Svobodova2018.csv'target='_blank'>Eisenia_tebuconazol_21h_Svobodova2018.csv</a>","<i>Eisenia</i>","aquatic worm","tebuconazol","21 hours","sediment","24 (3)","3 </br> [2 - 3]","<a href='Eisenia_tebuconazol_21h_Svobodova2018.pdf' target='_blank'>Link</a>","<a id='cite-Svobodova2018'target='_blank'></a><a href='https://doi.org/10.1016/j.envpol.2018.01.082'>Svobodov<e1><i> et al.</i> (2018)</a>",NA
"<a href='Enchytraeus_Ce_14d_Huang2020.txt'target='_blank'>Enchytraeus_Ce_14d_Huang2020.txt</a>","<i>Enchytraeus</i>","terrestrial worm","Ce","14 days","water","6 (6)","4 </br> [0 - 59518]","<a href='Enchytraeus_Ce_14d_Huang2020.pdf' target='_blank'>Link</a>","<a id='cite-Huang2020'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0269749119373373'>Huang<i> et al.</i> (2020)</a>","6 tested concentrations"
"<a href='Enchytraeus_Gd_14d_Huang2020.txt'target='_blank'>Enchytraeus_Gd_14d_Huang2020.txt</a>","<i>Enchytraeus</i>","terrestrial worm","Gd","14 days","water","6 (6)","0 </br> [0 - 1465]","<a href='Enchytraeus_Gd_14d_Huang2020.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0269749119373373'target='_blank'>Huang<i> et al.</i> (2020)</a>","6 tested concentrations"
